"STATION","NAME","DATE","TAVG"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-29","52"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-30","49"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-31","41"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-01","38"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-02","38"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-03","42"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-04","43"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-05","46"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-06","48"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-07","51"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-08","54"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-09","58"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-10","57"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-11","56"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-12","55"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-13","54"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-14","53"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-15","55"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-16","58"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-17","58"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-18","50"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-19","49"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-20","49"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-21","51"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-22","53"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-23","53"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-24","56"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-25","57"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-26","58"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-27","56"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-28","56"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-02-29","57"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-01","58"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-02","58"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-03","56"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-04","58"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-05","56"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-06","51"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-07","44"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-08","47"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-09","52"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-10","58"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-11","48"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-12","47"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-13","50"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-14","54"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-15","53"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-16","56"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-17","58"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-18","60"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-19","60"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-20","60"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-21","54"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-22","49"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-23","51"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-24","54"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-25","57"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-26","58"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-27","59"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-28","49"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-29","46"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-30","49"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-03-31","55"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-01","60"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-02","62"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-03","64"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-04","62"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-05","63"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-06","66"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-07","65"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-08","61"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-09","57"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-10","58"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-11","59"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-12","62"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-13","58"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-14","57"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-15","52"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-16","58"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-17","65"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-18","68"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-19","69"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-20","66"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-21","64"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-22","56"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-23","54"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-24","57"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-25","52"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-26","56"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-27","57"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-28","52"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-29","61"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-04-30","59"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-01","64"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-02","68"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-03","70"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-04","68"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-05","58"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-06","55"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-07","57"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-08","59"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-09","65"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-10","68"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-11","72"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-12","75"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-13","76"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-14","67"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-15","65"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-16","68"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-17","71"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-18","74"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-19","73"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-20","59"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-21","56"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-22","58"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-23","61"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-24","61"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-25","57"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-26","65"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-27","71"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-28","74"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-29","75"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-30","77"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-05-31","80"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-01","82"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-02","81"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-03","82"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-04","84"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-05","83"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-06","82"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-07","83"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-08","79"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-09","75"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-10","73"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-11","72"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-12","71"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-13","74"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-14","69"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-15","64"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-16","64"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-17","70"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-18","73"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-19","78"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-20","82"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-21","83"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-22","83"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-23","81"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-24","78"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-25","80"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-26","83"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-27","87"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-28","89"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-29","89"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-06-30","86"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-01","87"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-02","85"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-03","84"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-04","83"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-05","80"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-06","79"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-07","78"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-08","79"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-09","79"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-10","74"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-11","74"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-12","78"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-13","81"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-14","84"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-15","86"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-16","84"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-17","82"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-18","79"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-19","79"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-20","81"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-21","82"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-22","81"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-23","83"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-24","85"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-25","87"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-26","88"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-27","91"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-28","91"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-29","91"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-30","91"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-07-31","87"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-01","86"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-02","85"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-03","84"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-04","83"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-05","80"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-06","79"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-07","79"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-08","79"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-09","79"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-10","79"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-11","81"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-12","83"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-13","86"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-14","88"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-15","85"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-16","84"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-17","84"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-18","84"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-19","84"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-20","84"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-21","83"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-22","80"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-23","81"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-24","80"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-25","79"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-26","78"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-27","76"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-28","78"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-29","80"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-30","80"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-08-31","80"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-01","78"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-02","77"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-03","74"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-04","67"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-05","68"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-06","74"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-07","77"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-08","79"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-09","79"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-10","80"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-11","79"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-12","74"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-13","61"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-14","65"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-15","69"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-16","73"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-17","77"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-18","80"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-19","83"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-20","79"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-21","74"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-22","60"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-23","61"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-24","67"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-25","74"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-26","78"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-27","78"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-28","79"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-29","78"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-09-30","74"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-01","63"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-02","60"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-03","56"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-04","58"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-05","58"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-06","62"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-07","65"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-08","69"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-09","72"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-10","70"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-11","67"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-12","64"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-13","64"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-14","67"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-15","68"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-16","65"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-17","61"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-18","57"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-19","59"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-20","62"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-21","65"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-22","66"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-23","70"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-24","63"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-25","62"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-26","67"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-27","65"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-28","60"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-29","63"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-30","59"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-10-31","55"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-01","54"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-02","56"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-03","57"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-04","60"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-05","61"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-06","58"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-07","58"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-08","62"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-09","64"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-10","65"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-11","67"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-12","64"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-13","60"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-14","59"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-15","58"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-16","50"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-17","45"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-18","50"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-19","55"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-20","56"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-21","50"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-22","49"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-23","49"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-24","46"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-25","49"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-26","46"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-27","44"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-28","46"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-29","47"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-11-30","43"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-12-01","44"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-12-02","41"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-12-03","42"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-12-04","44"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-12-05","44"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-12-06","43"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-12-07","42"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-12-08","49"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-12-09","54"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-12-10","56"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-12-11","55"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-12-12","52"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-12-13","53"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-12-14","53"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-12-15","53"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-12-16","45"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-12-17","39"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-12-18","40"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-12-19","39"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-12-20","42"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-12-21","43"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-12-22","43"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-12-23","44"
